STATION,NAME,DATE,TAVG,TMAX,TMIN
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/3/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/4/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/5/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/6/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/7/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/8/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/9/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/10/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/11/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/12/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/13/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/14/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/15/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/16/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/17/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/18/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/19/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/20/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/21/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/22/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/23/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/24/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/25/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/26/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/27/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/28/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/29/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/30/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",1/31/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/1/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/2/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/3/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/4/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/5/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/6/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/7/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/8/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/9/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/10/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/11/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/12/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/13/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/14/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/15/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/16/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/17/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/18/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/19/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/20/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/21/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/22/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/23/2010,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/24/2010,,,
